40001|1|1|5|Ποιo όχημα είναι επιβατικό;|0|GA-1|A01
40373|1|12|5|Το Ηράκλειο βρίσκεται ευθεία σε 4 χιλιόμετρα;|Q373|GA-373|A 373
40374|1|13|5|Η πινακίδα αυτή δείχνει ότι όσοι έρχονται από αριστερά δεν έχουν προτεραιότητα;|Q374|GA-374|A 374
40375|1|14|5|Όταν δεις την πινακίδα αυτή πρέπει να στρίψεις αριστερά;|Q375|GA-375|A 375
40376|1|15|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να στρίψεις δεξιά;|Q376|GA-376|A 376
40377|1|16|5|Η πινακίδα αυτή σημαίνει ότι υποχρεωτικά πρέπει να στρίψεις δεξιά;|Q377|GA-377|A 377
40378|1|17|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να στρίψεις αριστερά;|Q378|GA-378|A 378
40379|1|18|5|Η πινακίδα αυτή σημαίνει ότι υποχρεωτικά πρέπει να στρίψεις αριστερά;|Q379|GA-379|A 379
40380|1|19|5|Η πινακίδα αυτή σημαίνει ότι στην επόμενη διασταύρωση όσοι έρχονται από δεξιά έχουν προτεραιότητα;|Q380|GA-380|A 380
40381|1|10|5|Η πινακίδα αυτή σημαίνει ότι πρέπει να είσαι προσεκτικός γιατί πλησιάζεις σε γραμμές τρένου;|Q381|GA-381|A 381
40382|1|11|5|Η πινακίδα αυτή σημαίνει ότι στην περιοχή αυτή απαγορεύεται να τρέχεις παραπάνω από 50 χιλιόμετρα την ώρα;|Q382|GA-382|A 382
40383|1|12|5|Η πινακίδα αυτή σημαίνει ότι δεν μπορείς να παρκάρεις στην πλατεία περισσότερο από 50 λεπτά;|Q383|GA-383|A 383
40384|1|13|5|Όταν βλέπεις αυτήν την πινακίδα πρέπει να κόβεις ταχύτητα γιατί υπάρχει επικίνδυνο αυλάκι στο δρόμο;|Q384|GA-384|A 384
40385|1|14|5|Η πινακίδα αυτή σημαίνει ότι μπορείς να τρέχεις παραπάνω από 50 χιλιόμετρα την ώρα;|Q385|GA-385|A 385
40386|1|15|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να τρέχεις παραπάνω από 50 χιλιόμετρα την ώρα;|Q386|GA-386|A 386
40387|1|16|5|Η πινακίδα αυτή σημαίνει υποχρεωτική αριστερή ή δεξιά στροφή;|Q387|GA-387|A 387
40388|1|17|5|Η πινακίδα αυτή σημαίνει επικίνδυνη αριστερή και δεξιά στροφή;|Q388|GA-388|A 388
40389|1|18|5|Η πινακίδα αυτή σημαίνει ότι δεν πρέπει να στρίψεις αριστερά ή δεξιά γιατί υπάρχει κίνδυνος;|Q389|GA-389|A 389
40390|1|19|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να πας ευθεία;|Q390|GA-390|A 390
40391|1|10|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει σαμαράκι και πρέπει να κόψεις ταχύτητα;|Q391|GA-391|A 391
40392|1|11|5|Η πινακίδα αυτή σημαίνει ότι φτάνεις σε τούνελ και πρέπει να ανάψεις τα φώτα;|Q392|GA-392|A 392
40393|1|12|5|Όταν δεις αυτήν την πινακίδα πρέπει να αφήσεις αυτόν που έρχεται από αριστερά να περάσει πρώτος;|Q393|GA-393|A 393
40394|1|13|5|Όταν δεις την πινακίδα αυτή πρέπει να κόψεις ταχύτητα γιατί πλησιάζεις σε επικίνδυνη στροφή;|Q394|GA-394|A 394
40395|1|14|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται σε όλα τα αυτοκίνητα που είναι μακρύτερα από 10 μέτρα να μπουν στο δρόμο;|Q395|GA-395|A 395
40396|1|15|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να μπουν στο δρόμο μόνο τα φορτηγά που είναι μεγαλύτερα από 10 μέτρα;|Q396|GA-396|A 396
40397|1|16|5|Οδηγείς ένα μικρό αγροτικό φορτηγάκι. Επιτρέπεται να μπεις στο δρόμο αυτό;|Q397|GA-397|A 397
40398|1|17|5|Η πινακίδα αυτή σημαίνει ότι από το δρόμο αυτό περνούν μόνο ποδήλατα και απαγορεύεται να περνά οποιοδήποτε αυτοκίνητο;|Q398|GA-398|A 398
40399|1|18|5|Η πινακίδα αυτή σημαίνει ότι από το δρόμο αυτό απαγορεύεται να περνούν ποδήλατα και επιτρέπεται να περνούν αυτοκίνητα;|Q399|GA-399|A 399
40400|1|19|5|Η πινακίδα αυτή σημαίνει ότι πρέπει να στρίψεις αριστερά στην πρώτη διασταύρωση;|Q400|GA-400|A 400
40401|1|10|5|Η πινακίδα αυτή προειδοποιεί ότι γίνονται έργα;|Q401|GA-401|A 401
40402|1|11|5|Η πινακίδα αυτή δείχνει ότι υπάρχει επικίνδυνη στροφή γι’ αυτό πρέπει να κόψεις ταχύτητα και να είσαι προσεκτικός;|Q402|GA-402|A 402
40403|1|12|5|Η πινακίδα αυτή σημαίνει ότι φτάνεις σε διασταύρωση με φανάρι;|Q403|GA-403|A 403
40404|1|13|5|Η πινακίδα αυτή σημαίνει ότι φτάνεις σε φανάρια που δεν λειτουργούν;|Q404|GA-404|A 404
40405|1|14|5|Όταν δεις την πινακίδα αυτή πρέπει να σταματήσεις τελείως ακόμα και αν δεν έρχεται άλλο αυτοκίνητο;|Q405|GA-405|A 405
40406|1|15|5|Η πινακίδα αυτή σημαίνει ότι υποχρεωτικά πρέπει να στρίψεις αριστερά ή δεξιά;|Q406|GA-406|A 406
40407|1|16|5|Η πινακίδα αυτή σημαίνει ότι μπροστά υπάρχει ένα εμπόδιο που πρέπει να το περάσεις ή από δεξιά ή από αριστερά;|Q407|GA-407|A 407
40408|1|17|5|Η πινακίδα αυτή σημαίνει ότι βγαίνεις από μία πόλη;|Q408|GA-408|A 408
40409|1|18|5|Η πινακίδα αυτή σημαίνει ότι σ’ αυτήν την πόλη απαγορεύεται να σταματήσεις;|Q409|GA-409|A 409
40410|1|19|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει κάποιο εμπόδιο στο δρόμο επειδή γίνονται έργα και πρέπει να προσέχεις;|Q410|GA-410|A 410
40411|1|10|5|Η πινακίδα αυτή σημαίνει ότι πρέπει να προσέχεις, επειδή υπάρχουν επικίνδυνες στροφές;|Q411|GA-411|A 411
40412|1|11|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει κίνδυνος να βρεθεί κάποιο άγριο ζώο στο δρόμο;|Q412|GA-412|A 412
40413|1|12|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται το κυνήγι του ελαφιού;|Q413|GA-413|A 413
40414|1|13|5|Η πινακίδα αυτή σημαίνει ότι τελειώνει ο αυτοκινητόδρομος;|Q414|GA-414|A 414
40415|1|14|5|Όταν δεις αυτήν την πινακίδα κόβεις ταχύτητα;|Q415|GA-415|A 415
40416|1|15|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να περάσεις κάτω από τη γέφυρα;|Q416|GA-416|A 416
40417|1|16|5|Απ’ αυτές τις πινακίδες και μετά απαγορεύεται να παρκάρεις;|Q417|GA-417|A 417
40418|1|17|5|Απ’ αυτές τις πινακίδες και μετά απαγορεύεται να παρκάρεις;|Q418|GA-418|A 418
40419|1|18|5|Απ’ αυτές τις πινακίδες και μετά επιτρέπεται η στάση και η στάθμευση;|Q419|GA-419|A 419
40420|1|19|5|Αυτή η πινακίδα σημαίνει ότι όλο το χρόνο απαγορεύεται να παρκάρεις σ’ αυτή την πλευρά του δρόμου;|Q420|GA-420|A 420
40421|1|10|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει διάβαση πεζών;|Q421|GA-421|A 421
40422|1|11|5|Όταν δεις την πινακίδα αυτή πρέπει να τρέξεις για να περάσεις πριν από τους πεζούς;|Q422|GA-422|A 422
40423|1|12|5|Όταν δεις την πινακίδα αυτή πρέπει να σταματήσεις αμέσως επάνω στη διάβαση;|Q423|GA-423|A 423
40424|1|13|5|Όταν δεις αυτήν την πινακίδα πρέπει να σταματήσεις πριν τη διάβαση πεζών για να περάσουν με ασφάλεια οι πεζοί;|Q424|GA-424|A 424
40425|1|14|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει κίνδυνος γιατί μπορεί στο δρόμο να στέκεται ή να περνάει αγελάδα;|Q425|GA-425|A 425
40426|1|15|5|Η πινακίδα αυτή σημαίνει ότι είσαι κοντά σε νοσοκομείο;|Q426|GA-426|A 426
40427|1|16|5|Η πινακίδα αυτή σημαίνει ότι είσαι κοντά σε ξενοδοχείο;|Q427|GA-427|A 427
40428|1|17|5|Η πινακίδα αυτή σημαίνει ότι είναι μονόδρομος;|Q428|GA-428|A 428
40429|1|18|5|Η πινακίδα αυτή σημαίνει ότι μπροστά βρίσκεται μια ανηφόρα;|Q429|GA-429|A 429
40430|1|19|5|Η πινακίδα αυτή δείχνει την έξοδο από τον αυτοκινητόδρομο;|Q430|GA-430|A 430
40431|1|10|5|Η πινακίδα αυτή δείχνει την έξοδο από πλατεία;|Q431|GA-431|A 431
40432|1|11|5|Η πινακίδα αυτή σημαίνει ότι δεξιά υπάρχει μονόδρομος, στον οποίο μπορείς να μπεις;|Q432|GA-432|A 432
40433|1|12|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει επικίνδυνη στροφή δεξιά;|Q433|GA-433|A 433
40434|1|13|5|Η πινακίδα αυτή σημαίνει ότι πρέπει να στρίψεις υποχρεωτικά δεξιά;|Q434|GA-434|A 434
40435|1|14|5|Στο κόκκινο φανάρι πρέπει να σταματάς ακόμα και αν δεν έρχονται άλλα αυτοκίνητα;|Q435|GA-435|A 435
40436|1|15|5|Το φανάρι δείχνει ότι μπορείς να στρίψεις αριστερά;|Q436|GA-436|A 436
40437|1|16|5|Μπορείς να στρίψεις δεξιά αν ο δρόμος είναι ελεύθερος;|Q437|GA-437|A 437
40438|1|17|5|Η πινακίδα αυτή σημαίνει ότι φτάνεις σε τούνελ;|Q438|GA-438|A 438
40439|1|18|5|Η πινακίδα αυτή σημαίνει σταθμό τρένου;|Q439|GA-439|A 439
40440|1|19|5|Σε ποια πινακίδα πρέπει υποχρεωτικά να σταματάς;|0|GA-440|A 440
40441|1|10|5|Σε ποια πινακίδα πρέπει υποχρεωτικά να σταματάς ακόμα κι αν δεν έρχεται κανένα άλλο αυτοκίνητο;|0|GA-441|A 441
40442|1|11|5|Σε ποια περίπτωση πρέπει να σταματάς;|0|GA-442|A 442
40443|1|12|5|Σε ποια πινακίδα πρέπει υποχρεωτικά να σταματάς ακόμα κι αν δεν έρχεται κανένα άλλο αυτοκίνητο;|0|GA-443|A 443
40444|1|13|5|Σε ποια πινακίδα πρέπει υποχρεωτικά να σταματάς;|0|GA-444|A 444
40445|1|14|5|Σε ποια πινακίδα πρέπει υποχρεωτικά να σταματάς;|0|GA-445|A 445
40446|1|15|5|Όταν δεις το STOP σε δρόμο με διάβαση πεζών θα σταματήσεις πριν τη διάβαση;|Q446|GA-446|A 446
40447|1|16|5|Σε ποια πινακίδα μπορείς να συνεχίσεις την πορεία σου χωρίς να σταματήσεις αν δεν έρχεται άλλο αυτοκίνητο;|0|GA-447|A 447
40448|1|17|5|Ποια πινακίδα δείχνει ότι δεν έχεις προτεραιότητα;|0|GA-448|A 448
40449|1|18|5|Ποια πινακίδα δείχνει ότι προτεραιότητα έχουν αυτοί που έρχονται από δεξιά;|0|GA-449|A 449
40450|1|19|5|Ποια πινακίδα δείχνει ότι αυτός που έρχεται από απέναντι έχει προτεραιότητα;|0|GA-450|A 450
40451|1|10|5|Ποια πινακίδα απαγορεύει μόνο στα φορτηγά να μπουν στο δρόμο;|0|GA-451|A 451
40452|1|11|5|Ποια πινακίδα απαγορεύει στα αυτοκίνητα που έχουν πλάτος μεγαλύτερο από 2 μέτρα να μπουν στο δρόμο;|0|GA-452|A 452
40453|1|12|5|Ποια πινακίδα απαγορεύει στα αυτοκίνητα με ύψος μεγαλύτερο από 4 μέτρα να μπουν στο δρόμο;|0|GA-453|A 453
40454|1|13|5|Ποια πινακίδα σημαίνει ότι αρχίζει ένας δρόμος με προτεραιότητα;|0|GA-454|A 454
40455|1|14|5|Ποια πινακίδα σημαίνει ότι ο δρόμος είναι κλειστός μόνο από τη μια μεριά;|0|GA-455|A 455
40456|1|15|5|Ποια πινακίδα σημαίνει ότι ο δρόμος είναι κλειστός και από τις δύο μεριές;|0|GA-456|A 456
40457|1|16|5|Ποια πινακίδα δείχνει επικίνδυνη στροφή δεξιά;|0|GA-457|A 457
40458|1|17|5|Ποια πινακίδα δείχνει ότι υπάρχουν επικίνδυνες συνεχείς στροφές, όπου η πρώτη στροφή είναι δεξιά;|0|GA-458|A 458
40459|1|18|5|Ποια πινακίδα δείχνει ότι υπάρχει επικίνδυνη κατηφόρα;|0|GA-459|A 459
40460|1|19|5|Ποια πινακίδα δείχνει ότι υπάρχει επικίνδυνη ανηφόρα;|0|GA-460|A 460
40461|1|10|5|Ποια πινακίδα δείχνει ότι υπάρχει στένωμα του δρόμου αριστερά;|0|GA-461|A 461
40462|1|11|5|Ποια πινακίδα δείχνει ότι στενεύει ο δρόμος δεξιά;|0|GA-462|A 462
40463|1|12|5|Ποια πινακίδα δείχνει ότι ο δρόμος είναι σε κακή κατάσταση;|0|GA-463|A 463
40464|1|13|5|Ποια πινακίδα δείχνει ότι υπάρχει ένα αυλάκι κάθετα στο δρόμο;|0|GA-464|A 464
40465|1|14|5|Ποια πινακίδα δείχνει κίνδυνο επειδή υπάρχει κοντά διάβαση πεζών;|0|GA-465|A 465
40466|1|15|5|Ποια πινακίδα δείχνει κίνδυνο, επειδή κοντά υπάρχει σχολείο και κυκλοφορούν παιδιά;|0|GA-466|A 466
40467|1|16|5|Ποια πινακίδα δείχνει ότι υπάρχουν χαλίκια στο δρόμο;|0|GA-467|A 467
40468|1|17|5|Ποια πινακίδα δείχνει ότι υπάρχει κίνδυνος από το πέρασμα άγριων ζώων;|0|GA-468|A 468
40469|1|18|5|Ποια πινακίδα δείχνει ότι ο δρόμος γλιστράει και πρέπει να κόψεις ταχύτητα;|0|GA-469|A 469
40470|1|19|5|Ποια πινακίδα δείχνει κίνδυνο γιατί γίνονται έργα;|0|GA-470|A 470
40471|1|10|5|Ποια πινακίδα δείχνει ότι υπάρχει κίνδυνος από τον αέρα που φυσάει;|0|GA-471|A 471
40472|1|11|5|Ποια πινακίδα δείχνει ότι τα αυτοκίνητα που έρχονται από απέναντι έχουν προτεραιότητα;|0|GA-472|A 472
40473|1|12|5|Ποια πινακίδα δείχνει ότι ο δρόμος είναι κλειστός και από τις δύο πλευρές;|0|GA-473|A 473
40474|1|13|5|Ποια πινακίδα δείχνει ότι πλησιάζεις σε γραμμή τρένου χωρίς μπάρες;|0|GA-474|A 474
40475|1|14|5|Ποια πινακίδα δείχνει ότι πλησιάζεις σε γραμμή τρένου χωρίς μπάρες;|0|GA-475|A 475
40476|1|15|5|Ποια πινακίδα δείχνει κίνδυνο επειδή υπάρχει τούνελ;|0|GA-476|A 476
40477|1|16|5|Ποια πινακίδα απαγορεύει μόνο στα φορτηγά να μπουν στο δρόμο;|0|GA-477|A 477
40478|1|17|5|Ποια πινακίδα σημαίνει πεζόδρομο;|0|GA-478|A 478
40479|1|18|5|Ποια πινακίδα απαγορεύει σε αυτοκίνητα βαρύτερα από 5 τόνους να μπουν στο δρόμο;|0|GA-479|A 479
40480|1|19|5|Ποια πινακίδα απαγορεύει σε αυτοκίνητα να μπουν στο δρόμο, όταν το βάρος σε κάθε άξονα είναι μεγαλύτερο από 2 τόνους;|0|GA-480|A 480
40481|1|10|5|Ποια πινακίδα απαγορεύει την αριστερή στροφή;|0|GA-481|A 481
40482|1|11|5|Ποια πινακίδα απαγορεύει τη στροφή προς τα πίσω;|0|GA-482|A 482
40483|1|12|5|Ποια πινακίδα δείχνει ότι τα φορτηγά απαγορεύεται να προσπερνούν;|0|GA-483|A 483
40484|1|13|5|Ποια πινακίδα δείχνει ότι επιτρέπεται τα φορτηγά να προσπερνούν;|0|GA-484|A 484
40485|1|14|5|Ποια πινακίδα δείχνει το τέλος όλων των απαγορεύσεων στα οχήματα που κινούνται;|0|GA-485|A 485
40486|1|15|5|Ποια πινακίδα δείχνει ότι απαγορεύεται μόνο το παρκάρισμα;|0|GA-486|A 486
40487|1|16|5|Ποια πινακίδα δείχνει ότι απαγορεύεται και το σταμάτημα και το παρκάρισμα;|0|GA-487|A 487
40488|1|17|5|Ποια πινακίδα σημαίνει ότι επιτρέπεται το παρκάρισμα μόνο για λίγο χρόνο;|0|GA-488|A 488
40489|1|18|5|Ποια πινακίδα δείχνει ότι απαγορεύεται στα αυτοκίνητα, τα οποία μεταφέρουν πράγματα που μπορούν να πάρουν φωτιά, να μπουν στο δρόμο αυτό;|0|GA-489|A 489
40490|1|19|5|Ποια πινακίδα δείχνει ότι πρέπει να πας υποχρεωτικά δεξιά;|0|GA-490|A 490
40491|1|10|5|Ποια πινακίδα δείχνει ότι πρέπει να πας υποχρεωτικά μπροστά;|0|GA-491|A 491
40492|1|11|5|Ποια πινακίδα δείχνει ότι πρέπει να πας υποχρεωτικά δεξιά;|0|GA-492|A 492
40493|1|12|5|Ποια πινακίδα δείχνει ότι πρέπει να στρίψεις υποχρεωτικά αριστερά;|0|GA-493|A 493
40494|1|13|5|Ποια πινακίδα δείχνει ότι πρέπει υποχρεωτικά να πας μπροστά ή δεξιά;|0|GA-494|A 494
40495|1|14|5|Ποια πινακίδα δείχνει ότι μπορείς να περάσεις το εμπόδιο μόνο από αριστερά;|0|GA-495|A 495
40496|1|15|5|Ποια πινακίδα δείχνει ότι πλησιάζεις σε πλατεία;|0|GA-496|A 496
40497|1|16|5|Ποια πινακίδα δείχνει ότι πρέπει υποχρεωτικά να κινηθείς κυκλικά;|0|GA-497|A 497
40498|1|17|5|Ποια πινακίδα δείχνει ότι στο δρόμο αυτό κυκλοφορούν μόνο ποδήλατα;|0|GA-498|A 498
40499|1|18|5|Ποια πινακίδα δείχνει ότι κυκλοφορούν μόνο οι πεζοί;|0|GA-499|A 499
40500|1|19|5|Ποια πινακίδα δείχνει ότι απαγορεύεται να τρέχεις με ταχύτητα μεγαλύτερη από 50 χιλιόμετρα την ώρα;|0|GA-500|A 500
40501|1|10|5|Ποια πινακίδα δείχνει ότι πρέπει να τρέχεις με ταχύτητα μεγαλύτερη από 30 χιλιόμετρα την ώρα;|0|GA-501|A 501
40502|1|11|5|Ποια πινακίδα δείχνει ότι κυκλοφορούν μόνο λεωφορεία και τρόλλεϊ;|0|GA-502|A 502
40503|1|12|5|Οδηγείς ένα μικρό φορτηγάκι που μεταφέρει φρούτα. Πρέπει να στρίψεις υποχρεωτικά δεξιά;|Q503|GA-503|A 503
40504|1|13|5|Πρέπει υποχρεωτικά να στρίψεις, αν μεταφέρεις χαλιά με το αυτοκίνητο;|Q504|GA-504|A 504
40505|1|14|5|Η πινακίδα δείχνει ότι ο δρόμος μπροστά είναι κλειστός. Επιτρέπεται να μπεις;|Q505|GA-505|A 505
40506|1|15|5|Ποια πινακίδα δείχνει ότι δεξιά μπαίνεις σε αυτοκινητόδρομο;|0|GA-506|A 506
40507|1|16|5|Ποια πινακίδα δείχνει ότι οδηγείς σε αυτοκινητόδρομο;|0|GA-507|A 507
40508|1|17|5|Ποια πινακίδα δείχνει ότι τελείωσε ο αυτοκινητόδρομος;|0|GA-508|A 508
40509|1|18|5|Ποια πινακίδα δείχνει ότι περνάνε μόνο λεωφορεία ή τρόλλεϊ;|0|GA-509|A 509
40510|1|19|5|Ποια πινακίδα δείχνει ότι βρίσκεσαι σε δρόμο ταχείας κυκλοφορίας;|0|GA-510|A 510
40511|1|10|5|Ποια πινακίδα δείχνει ότι υποχρεωτικά πρέπει να βάλεις αλυσίδες;|0|GA-511|A 511
40512|1|11|5|Ποια πινακίδα δείχνει ότι επιτρέπεται να κατασκηνώσεις;|0|GA-512|A 512
40513|1|12|5|Ποια πινακίδα δείχνει τη λωρίδα που κινούνται μόνο λεωφορεία;|0|GA-513|A 513
40514|1|13|5|Ποια πινακίδα δείχνει μέχρι πόση ταχύτητα επιτρέπεται να τρέχεις σε κάθε λωρίδα;|0|GA-514|A 514
40515|1|14|5|Ποια πινακίδα δείχνει ότι οι τρεις (3) λωρίδες κυκλοφορίας γίνονται δύο (2);|0|GA-515|A 515
40516|1|15|5|Ποια πινακίδα δείχνει ότι οι δύο (2) λωρίδες κυκλοφορίας γίνονται τρεις (3);|0|GA-516|A 516
40517|1|16|5|Ποια πινακίδα δείχνει τις επικίνδυνες καμπύλες ή στροφές του δρόμου;|0|GA-517|A 517
40518|1|17|5|Ποια πινακίδα δείχνει εμπόδιο στο δρόμο λόγω έργων;|0|GA-518|A 518
40519|1|18|5|Ποια πινακίδα δείχνει την έξοδο από τον αυτοκινητόδρομο;|0|GA-519|A 519
40520|1|20|5|Ποιο αυτοκίνητο έχει παρκάρει σωστά;|0|GA-520|A 520
40521|1|20|5|Ποιο αυτοκίνητο έχει παρκάρει σωστά;|0|GA-521|A 521
40522|1|20|5|Ποιο αυτοκίνητο έχει σταματήσει σωστά;|0|GA-522|A 522
40523|1|20|5|Ποιο αυτοκίνητο έχει σταματήσει σωστά;|0|GA-523|A 523
40524|1|20|5|Ποιο αυτοκίνητο έχει παρκάρει σωστά;|0|GA-524|A 524
40525|1|20|5|Ποιο αυτοκίνητο έχει παρκάρει λάθος;|0|GA-525|A 525
40526|1|20|5|Το παρκάρισμα κοντά σε γραμμές τρένου επιτρέπεται;|Q526|GA-526|A 526
40527|1|20|5|Επιτρέπεται να παρκάρεις ανάμεσα στις δύο πινακίδες;|Q527|GA-527|A 527
40528|1|20|5|Το αυτοκίνητο έχει παρκάρει σωστά;|Q528|GA-528|A 528
40529|1|20|5|Ποιο αυτοκίνητο έχει σταθμεύσει λάθος;|0|GA-529|A 529
40530|1|20|5|Ποιο αυτοκίνητο έχει σταθμεύσει σωστά;|0|GA-530|A 530
40531|1|20|5|Το αυτοκίνητο έχει παρκάρει σωστά;|Q531|GA-531|A 531
40532|1|20|5|Επιτρέπεται να παρκάρεις σ’ αυτόν το δρόμο;|Q532|GA-532|A 532
40533|1|20|5|Το αυτοκίνητο έχει σταματήσει σωστά;|Q533|GA-533|A 533
40534|1|20|5|Ποια από τις δύο πινακίδες επιτρέπει το παρκάρισμα;|0|GA-534|A 534
40535|1|20|5|Ποιο αυτοκίνητο έχει παρκάρει σωστά;|0|GA-535|A 535
40536|1|20|5|Ποιο αυτοκίνητο έχει παρκάρει λάθος;|0|GA-536|A 536
40537|1|20|5|Είναι Φεβρουάριος. Επιτρέπεται να σταθμεύσεις από την πλευρά του δρόμου που υπάρχει η πινακίδα;|Q537|GA-537|A 537
40538|1|20|5|Απαγορεύεται να παρκάρεις όλο το χρόνο στην πλευρά του δρόμου που υπάρχει η πινακίδα;|Q538|GA-538|A 538
40539|1|20|5|Όταν παίρνεις φάρμακα και πίνεις ποτά κινδυνεύεις περισσότερο στην οδήγηση;|Q539|GA-539|A 539
40540|1|20|5|Πρέπει να συμβουλευτείς το γιατρό εάν παίρνεις φάρμακα και οδηγείς;|Q540|GA-540|A 540
40541|1|20|5|Ακόμα και με ένα ποτό γίνεσαι επικίνδυνος οδηγός και κινδυνεύεις;|Q541|GA-541|A 541
40542|1|20|5|Ακόμα και με ένα ποτό μπορεί να περάσεις το όριο της Τροχαίας στο αλκοτέστ;|Q542|GA-542|A 542
40543|1|20|5|Όταν πίνεις ποτά και οδηγείς κινδυνεύεις γιατί δεν βλέπεις το ίδιο καλά;|Q543|GA-543|A 543
40544|1|20|5|Για να σε γράψει η Τροχαία όταν οδηγείς πρέπει να έχεις πιει πολλά ποτά;|Q544|GA-544|A 544
40545|1|20|5|Όταν οδηγείς ενώ έχεις πιει νομίζεις ότι οδηγείς καλύτερα, ενώ στην πραγματικότητα γίνεσαι επικίνδυνος;|Q545|GA-545|A 545
40546|1|20|5|Το ποτό σε κάνει να μην αντιδράς γρήγορα στην οδήγηση;|Q546|GA-546|A 546
40547|1|20|5|Μετά από διασκέδαση και αφού έχεις πιει μπορείς να οδηγήσεις;|Q547|GA-547|A 547
40548|1|20|5|Σε μια παρέα που πίνουν ποτά, ο οδηγός δεν πρέπει να πιει ούτε σταγόνα;|Q548|GA-548|A 548
40549|1|20|5|Αν πιεις πρέπει να αφήσεις το αυτοκίνητό σου και να πάρεις ταξί για να γυρίσεις στο σπίτι σου με ασφάλεια;|Q549|GA-549|A 549
40550|1|20|5|Ποιο όχημα θα περάσει πρώτο;|Q550|GA-550|A 550
40551|1|20|5|Ποιο όχημα θα περάσει πρώτο;|Q551|GA-551|A 551
40552|1|20|5|Όταν βλέπεις τον τροχονόμο έτσι, είναι σαν να βλέπεις κόκκινο φανάρι;|Q552|GA-552|A 552
40553|1|20|5|Όταν βλέπεις τον τροχονόμο έτσι, επιτρέπεται να περάσεις;|Q553|GA-553|A 553
40554|1|20|5|Όταν βλέπεις τον τροχονόμο έτσι, πρέπει να σταματήσεις;|Q554|GA-554|A 554
40555|1|20|5|Όταν βλέπεις τον τροχονόμο έτσι, πρέπει να περάσεις από δίπλα του;|Q555|GA-555|A 555
40556|1|20|5|Όταν ο τροχονόμος κάνει αυτό το σήμα σου λέει να σταματήσεις;|Q556|GA-556|A 556
40557|1|20|5|Ποιο σήμα του τροχονόμου σου λέει ότι πρέπει να σταματήσεις;|0|GA-557|A 557
40558|1|20|5|Σε αυτό το σήμα του τροχονόμου πρέπει να περάσεις;|Q558|GA-558|A 558
40559|1|20|5|Ποιο σήμα του τροχονόμου σου λέει ότι πρέπει να περάσεις;|0|GA-559|A 559
40560|1|20|5|Σε αυτό το σήμα του τροχονόμου πρέπει να σταματήσεις;|Q560|GA-560|A 560
40561|1|20|5|Όταν βλέπεις αυτήν την πινακίδα, στην επόμενη διασταύρωση έχεις προτεραιότητα;|Q561|GA-561|A 561
40562|1|20|5|Όταν βλέπεις αυτήν την πινακίδα, στην επόμενη διασταύρωση σταματάς και αφήνεις να περάσουν πρώτα τα άλλα οχήματα;|Q562|GA-562|A 562
40563|1|20|5|Σε ποια χρώματα στα φανάρια πρέπει να σταματήσεις;|Q563|GA-563|A 563
40564|1|20|5|Όταν βλέπεις από μακριά το φανάρι με ποιο χρώμα μπορείς να περάσεις;|Q564|GA-564|A 564
40565|1|20|5|Όταν βλέπεις από μακριά το φανάρι κίτρινο πρέπει να σταματήσεις;|Q565|GA-565|A 565
40566|1|20|5|Το κόκκινο φανάρι σημαίνει ότι πρέπει να σταματήσεις;|Q566|GA-566|A 566
40567|1|20|5|Όταν βλέπεις το κίτρινο φανάρι από μακριά, πατάς γκάζι για να περάσεις;|Q567|GA-567|A 567
40568|1|20|5|Ποιο αυτοκίνητο θα περάσει τελευταίο;|Q568|GA-568|A 568
40569|1|21|5|Ποιο αυτοκίνητο θα περάσει πρώτο;|Q569|GA-569|A 569
40570|1|22|5|Ποιο αυτοκίνητο θα περάσει τελευταίο;|Q570|GA-570|A 570
40571|1|23|5|Οδηγείς το γαλάζιο αυτοκίνητο. Θα στρίψεις μετά το κίτρινο φορτηγό;|Q571|GA-571|A 571
40572|1|24|5|Οδηγείς το κόκκινο αυτοκίνητο. Θα περάσεις πρώτος το δρόμο κορνάροντας;|Q572|GA-572|A 572
40573|1|21|5|Ποιο αυτοκίνητο θα περάσει πρώτο;|Q573|GA-573|A 573
40574|1|22|5|Ποιο αυτοκίνητο θα περάσει τελευταίο;|Q574|GA-574|A 574
40575|1|23|5|Οδηγείς το κίτρινο φορτηγάκι, θα περάσεις τη διασταύρωση μετά το μπλε φορτηγάκι;|Q575|GA-575|A 575
40576|1|24|5|Ποιο όχημα θα περάσει τελευταίο τη διασταύρωση;|Q576|GA-576|A 576
